id,name,nameDisplay,abv,ibu,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax
gZmW8O,Daylight,Daylight,6.25,65,1.0,32,N,verified,Verified,2012-02-09 12:38:11,2015-12-16 15:21:49,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-large.png,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,
7TCBFe,Discord,Discord,6.5,,2.0,136,N,verified,Verified,2015-08-24 19:37:25,2015-08-24 19:46:18,,,,,,,2.0,Limited,Limited availability.,136,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Sour Beer,BBL Aged Sour,"A wood- or barrel-aged sour beer is any lager, ale or hybrid beer, either a traditional style or a unique experimental beer that has been aged for a period of time in a wooden barrel or in contact with wood and has developed a bacterial induced natural acidity. This beer is aged in wood with the intention of introducing the micro flora present in the wood. Sometimes wood aging is intended to impart the particularly unique character of the wood, but wood-aged is not necessarily synonymous with imparting wood-flavors. Wood character can be characterized as a complex blend of vanillin and unique wood character. Wood-derived character can also be characterized by flavors of the product that was in the barrel during prior use. These wood-derived flavors, if present in this style, can be very low in character and barely perceived or evident or assertive as wood-derived flavors. Any degree of woodderived flavors should be in balance with other beer character. Fruit and herb/spiced versions may take on the hue, flavors and aromas of added ingredients.  Usually bacteria and ""wild"" yeasts fermentation contributes complex esters and results in a dry to very dry beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of acidity, complex esters, and new beer with wood and/or barrel flavors. Beers in this style may or may not have Brettanomyces character.  Brewers when entering this category should specify type of barrel used and any other special treatment or ingredients used. Competition managers may create style subcategories to differentiate between high alcohol and low alcohol beers and very dark and lighter colored beer as well as for fruit beers and non-fruit beers. Competitions may develop guidelines requesting brewers to specify what kind of wood (new or used oak, other wood varieties). The brewer may be asked to explain the special nature (wood used, base beer style(s) and achieved character) of the beer.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:56,
GLGm3u,Everything Wrong (and Right),Everything Wrong (and Right),7,30,,30,N,verified,Verified,2017-06-01 03:51:45,2017-06-01 14:54:42,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,
GW1knL,Extra Special Martin,Extra Special Martin,6,,2.0,5,N,verified,Verified,2015-08-24 19:27:15,2015-08-24 19:46:31,,,,,,,2.0,Limited,Limited availability.,5,1,1,British Origin Ales,2012-03-21 20:06:45,Extra Special Bitter,ESB,"Extra special bitter possesses medium to strong hop aroma, flavor, and bitterness. The residual malt and defining sweetness of this richly flavored, full-bodied bitter is more pronounced than in other styles of bitter. It is light amber to copper colored with medium to medium-high bitterness. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. English or American hops may be used. (English and American hop character may be specified in subcategories.)",30,45,4.8,5.8,8,14,1.046,1.01,1.016,2012-03-21 20:06:45,2015-04-07 15:19:20,
hEkIF0,Golden Guava IPA,Golden Guava IPA,6.5,,,30,N,verified,Verified,2016-09-07 20:39:59,2016-09-16 14:25:54,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,
8YAO4j,Hazy Panic,Hazy Panic,7,,,172,N,verified,Verified,2019-11-04 14:42:43,2019-11-04 14:42:43,,,,,,,,,,172,3,3,North American Origin Ales,2012-03-21 20:06:45,Juicy or Hazy India Pale Ale,Juicy or Hazy IPA,"Color: Straw to deep gold

Clarity: Low to very high degree of cloudiness is typical of these beers. Starch, yeast, hop, protein and/or other compounds contribute to a wide range of hazy appearance within this category.

Perceived Malt Aroma & Flavor: Low to low-medium malt aroma and flavor may be present

Perceived Hop Aroma & Flavor: Medium-high to very high hop aroma and flavor are present, with attributes typical of hops from any origin

Perceived Bitterness: Medium-low to medium

Fermentation Characteristics: Low to medium fruity-estery aroma and ﬂavor may be present, but are usually overwhelmed by hop fruitiness. Diacetyl should not be perceived.

Body: Medium-low to medium-high. Perceived silky or full mouthfeel may contribute to overall flavor profile.

Additional notes: Grist may include a small amount of oat, wheat or other adjuncts to promote haziness. Descriptors such as “juicy” are often used to describe the taste and aroma hop-derived attributes present in these beers.",50,70,6.3,7.5,4,7,1.06,1.008,1.016,2018-08-16 14:03:57,,1.07
EPIqbr,Hoppy Palm Pale Ale,Hoppy Palm Pale Ale,5.7,40,1.0,25,N,verified,Verified,2015-08-06 20:18:37,2015-08-06 20:18:37,,,,,,,1.0,Year Round,Available year round as a staple beer.,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,
wPP8Yz,Knee Deep in Beer Week,Knee Deep in Beer Week,9.1,101,2.0,27,N,verified,Verified,2013-01-20 22:07:55,2015-12-17 00:19:30,https://brewerydb-images.s3.amazonaws.com/beer/wPP8Yz/upload_bPtzEi-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/wPP8Yz/upload_bPtzEi-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/wPP8Yz/upload_bPtzEi-large.png,https://brewerydb-images.s3.amazonaws.com/beer/wPP8Yz/upload_bPtzEi-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/wPP8Yz/upload_bPtzEi-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/wPP8Yz/upload_bPtzEi-contentAwareLarge.png,2.0,Limited,Limited availability.,27,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Belgo-Style Ale,American/Belgian Ale,"American-Belgo-Style Ales are
either 1) non-Belgian beer types portraying the
unique characters imparted by yeasts typically used
in big, fruity Belgian-style ales, or 2) defined Belgianstyle beers displaying the hallmark attributes typical
of American variety hops. These beers are unique
unto themselves.",,,,,5,,,,,2012-03-21 20:06:45,2020-02-19 00:48:40,
c5a2SQ,Left Eye Right Eye IIPA,Left Eye Right Eye IIPA,9.5,100,1.0,31,N,verified,Verified,2015-08-06 20:18:11,2015-12-18 04:11:49,https://brewerydb-images.s3.amazonaws.com/beer/c5a2SQ/upload_2qEYuB-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/c5a2SQ/upload_2qEYuB-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/c5a2SQ/upload_2qEYuB-large.png,https://brewerydb-images.s3.amazonaws.com/beer/c5a2SQ/upload_2qEYuB-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/c5a2SQ/upload_2qEYuB-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/c5a2SQ/upload_2qEYuB-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,
EmQYo4,Motherload Triple IPA,Motherload Triple IPA,10,,,31,N,verified,Verified,2016-09-09 03:22:34,2016-09-16 14:27:41,,,,,,,,,,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,
V9TN6D,Nukin' Futz,Nukin' Futz,7.3,30,,130,N,verified,Verified,2015-08-24 19:32:40,2015-12-18 05:25:24,https://brewerydb-images.s3.amazonaws.com/beer/V9TN6D/upload_asANA1-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/V9TN6D/upload_asANA1-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/V9TN6D/upload_asANA1-large.png,https://brewerydb-images.s3.amazonaws.com/beer/V9TN6D/upload_asANA1-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/V9TN6D/upload_asANA1-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/V9TN6D/upload_asANA1-contentAwareLarge.png,,,,130,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Experimental Beer (Lager or Ale),Experimental Beer,"An experimental beer is any beer (lager, ale or other) that is primarily grain-based and employs unusual techniques and/or ingredients. A minimum 51% of the fermentable carbohydrates must be derived from malted grains. The overall uniqueness of the process, ingredients used and creativity should be considered. Beers such as garden (vegetable), fruit, chocolate, coffee, spice, specialty or other beers that match existing categories should not be entered into this category. Beers not easily matched to existing style categories in a competition would often be entered into this category. Beers that are a combination of other categories (spice, smoke, specialty, porter, etc.) could also be entered into this category. A statement by the brewer explaining the experimental or other nature of the beer is essential in order for fair assessment in competitions. Generally, a 25-word statement would suffice in explaining the experimental nature of the beer.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:02,
